// key	SCENARIO_LOCATION_
AFEWDAYSAGO	สองสามวันก่อน
AFEWHOURSAFTER	ไม่กี่ชั่วโมงต่อมา ห้องเรียน
AFEWHOURSAGO	ไม่กี่ชั่วโมงก่อนหน้านั้น
AFTERAFEWDAYS	ไม่กี่วันต่อมา
ANHOURAGO	ชั่วโมงที่แล้ว...
ANHOUREFTER	หลังจากนั้นชั่วโมงหนึ่ง
AWHILEAFTER	ต่อมา
AWHILEAGO	ก่อนหน้านั้นสักพัก
BELIVE	หลังจากนั้นสักพัก
CAFE1	ในเมือง - คาเฟ่ยามบ่าย
HOME1	ในเมือง - บ้าน
HOME2	ในเมือง - ตรอกด้านหลัง
HOME3	ในเมือง - วิกฤตที่บ้าน
HOME4	ในเมือง - ตรอกด้านหลังแห่งหนึ่ง
hospital	โรงพยาบาล
HOSPITAL	病院
LONGAGO	นานมาแล้ว
NAMSAN	ในเมือง - ถนนสายหนึ่ง
PRESENT	กลับมาที่ปัจจุบัน
SATANTOURNAMENTSTART	ทันทีหลังจากที่ศึกชิงบัลลังก์ราชาปีศาจเริ่มขึ้น
SCHOOLSECRETLABOARTORY	ห้องแล็บลับของโรงเรียนสตรีเซนต์ไมเคิล
SOMEWHEREINTHEHELL	กลับไปยังอดีต ณ ที่แห่งหนึ่งในโลกปีศาจ
STMICHAEL	โรงเรียนสตรีเซนต์ไมเคิล กรุงโตเกียว
STREET1	ในเมือง - ตรอกด้านหลังซึ่งไร้ผู้คน
STREET2	ในเมือง - ตรอกด้านหลัง
STREET3	ในเมือง - ตรอกด้านหลังซึ่งไร้ผู้คน
STREET4	ในเมือง - ตรอกด้านหลังแห่งหนึ่ง
TEMPORARYLODGINGS	ที่พักพิงชั่วคราว
THEDAY	วันนั้น
THEDAY_ONEDAYAGO	หนึ่งวันก่อนวันนั้น
YESTERDAY	เมื่อวานซืน
