// key	OMNI_EVE_ITEM_NAME_	OMNI_EVE_ITEM_DESC_
10101	魔杖	按下它來射出花粉。\落在壞人手中的話，它將變為極度惹人厭的武器。
10102	捲起來的報紙	一份捲起來的報紙。\是初出茅蘆的勇者們愛用的劍。
10103	橡膠鎚	軟軟的橡膠鎚。\是個考慮到安全性的武器，成為了銷售冠軍。
10104	拳擊手套	亮紅色的拳擊手套。\被這玩意而打到的話，連惡魔都會被打倒。
10201	斧	無論是人類或是惡魔都能輕易斬斷的實用武器。\也很適合用來砍柴。
10202	求生手斧	露營必備！大家都該有一把的隨身手斧。
10203	鞭	通常用來馴服動物。\用在人或惡魔身上，會造成劇烈疼痛。
10204	雙節棍	阿恰～！來接接看我的雙截棍吧！\一不小心砸到臉上的話可就糗囉。
10205	神社巫女的匕首	神社巫女所攜帶的護身匕首。\雖然以刀來說算小了，不過作為裝飾品還是過於笨重。
10206	可愛掃帚	用來當做高級擺飾的掃帚。\實用性為零。
10207	聖誕老人的枴杖	充滿糖果的枴杖。\願好惡魔都得到祝福。
10301	狄蜜特針筒	流過血管的憤怒提供了力量。\一支充滿了狄蜜特之怒的針筒。
10302	哥德式陽傘	巴托里的哥德式陽傘。\特別能抵擋紫外線。有乾燥玫瑰的淡淡香氣。
10303	斧槍	從刀柄到刀刃的每一處都受到精心製作。\但要練習一陣子才能用得好。
10304	膺品偃月刀	從長鬍子的老伯伯到美少女都喜歡選用這種武器。\雖然沒有刀刃，但是逼真的外型讓它成為了Cosplay中常用的道具。
10305	萊瑪的刺劍	萊瑪曾愛之人所使用的武器。
10306	電鋸	據說是傳奇殺人魔的凶器。\居家必備。
10307	魔杖	魔法少女所使用的神奇手杖。\只有被選中之人才能使用。
10308	戰神的聖環	奧福伊斯隨意使用魔法製作而成的護身符。\她說這會帶來必定成功的好運。
10309	聖誕老人的枴杖	充滿糖果的枴杖。\願好惡魔都得到祝福。
10401	麗莫斯的三叉戟	麗莫斯專用的短三叉戟，能讓她迅速且準確的\插起甜甜圈。也能拿來當叉子用。
10402	鋼鐵玫瑰	因布麗姬的魔力而脹大或縮小的寶石。\裡面沒有玫瑰。
10403	該隱之杖	象徵神聖權威的杖。
10404	皮手套	收割了無數惡魔臼齒的手套。\據說庫巴巴在近身戰中會更加恐怖。
10405	月光紫晶之杖	神秘紫晶製成的魔杖。\寶石散發著令人發狂的危險氣息。
10406	佛法力腕甲	充滿驅魔師魔力的腕甲。\只有開悟的驅魔師能使用。
10407	黛娜的權杖	黛娜用來引導迷失羔羊的權杖。
10408	神聖錫杖	散發些微靈力的神聖錫杖。\這一定是真貨。
10409	聖誕老人的枴杖	充滿糖果的枴杖。\願好惡魔都得到祝福。
10501	涅槃寶劍	充滿驅魔師魔力的寶劍。\在不潔之物出現時，會散發銳利的光芒。
10502	神聖懲罰之矛	從瑪亞特靈魂的一部分中所誕生的聖槍。\其槍刃可能會朝向自己。
10503	邪惡之花	一把外型奇異的劍，是專門為阿斯塔蒂修改製作的。\被刺中後，這把劍不會簡單地拔出來。
10504	閃光斧	能立刻砍飛怪物的強大武器。
10505	粉碎重錘	用盡全力揮舞這把錘子的話，也許你就能逃離這裡。
10506	宇宙魔杖	體現使用者逃脫決心的魔杖。
10507	火之槍	讓我們逃離這無限輪迴的宇宙吧。
10508	飛翼神劍	能協助你逃離這地獄般宇宙的救贖神劍。
10509	聖誕老人的枴杖	充滿糖果的枴杖。\願好惡魔都得到祝福。
29001	暮光藥水	一股神秘的力量在你體內湧動。\<color=ffc400>最多可回復最大HP的30%。</color>
