// key	CHAT_SPA_
sc001_spa_1	呼……没什么比宠爱自己一下更好的了♥
sc001_spa_2	体能训练、战斗训练、要想成为邪恶又狡诈的恶魔……你的路还长着呢，主人。但是，还请跟莫娜一起努力吧！
sc001_spa_3	看起来你今天心情不错。放松点了？
sc001_spa_max	一事无成的恶魔。不管他怎么努力，还是会做错。所以没人看得起他。即使如此，我还是认为主人遇见的恶魔最后都会支持他的♥
sc002_spa_1	今天不工作吗？
sc002_spa_2	现在可不是偷懒的好时候。主人是……算了。
sc002_spa_3	我们今天可以放松点了。弹簧压的时间久了，也容易坏。
sc002_spa_max	你笑起来比较好看，主人。什么？这不太像是我说的话？来，我给你示范。虽然……我也不是那么会笑。
sc003_spa_1	不行！这边禁止恶魔进入！
sc003_spa_2	莫娜姐姐不见了……她答应妲比一起去的~
sc003_spa_3	主人！今天不用打工吗？今天休假的话，就和妲比一起玩吧！
sc003_spa_max	我们今天先在主人房间里贴满贴纸。明天我们来玩魔王游戏吧！后天我们可以去公园玩滑梯！让我们好好玩上一周吧！你也一起吧，主人！
sc004_spa_1	你明天想玩些什么？
sc004_spa_2	队长！我今天跑了一天，饿死我了！嘻嘻嘻！
sc004_spa_3	独自跑来跑去，真是寂寞啊。如果你能跟我一起行动就太好了，队长。嘻嘻……
sc004_spa_max	队长就是我的一切！我最喜欢和他在一起了！
sc005_spa_1	不要打扰我啦。
sc005_spa_2	你打算在这种地方絮絮叨叨吗？烦人。走开！
sc005_spa_3	你不觉得这里的Child太过懒散了吗？现在可是魔王争夺战的关键时期哎！唉……真是的……
sc005_spa_4	不知道为什么，我今天特别累。偶尔放松一下应该没关系吧。
sc005_spa_5	听好了。我可是团队的重要资产。别在我放松的时候烦我。让我好好休息一会儿，休息好了，我才能在下一场战斗中发挥出实力。
sc005_spa_max	你干嘛这么紧张啊？放轻松。说实在的，我还挺喜欢这个温泉的。既然你带我来到这么好的地方，我下一次战斗会全力以赴的。
sc007_spa_1	啊，我的肩膀有点僵硬……咳咳……
sc007_spa_2	一天到晚派罗、派罗、派罗！如果你再敢在我面前提到那个名字，我会让你尝试一下飞行的感觉！
sc007_spa_3	只有专注于当下并且每日奋力战斗的人，才有资格获得最终的胜利。
sc007_spa_max	你还在介意之前的失败啊？！笨蛋！有我在，你是不会输的！
sc008_spa_1	你的训练该开始了！
sc008_spa_2	你的表现很可疑啊。你是想让我放松警惕，然后趁机偷袭我吗？哈！这是不可能的。
sc008_spa_3	我喜欢这个温泉。只是撸瑟一直在烦我。
sc008_spa_4	温泉真的能让人平静下来。别误会。我是不会因为你带我来这里而对你有所改观的。
sc008_spa_max	谢谢你的款待。我下次战斗的时候会回报你的。对吧？
sc009_spa_1	可别以为这场表演是免费的啊。
sc009_spa_2	你的确叫我去休息了，但这是因为你等一下要我帮忙，不是吗？毕竟，天上不会掉馅饼。
sc009_spa_3	不用你关心。你以为这样就能收买我？……什么？我们是朋友？嗯……那我就姑且信你一回吧。
sc009_spa_4	时机正好，反正我也受够了无休止的战斗。这次要好好地放松一下。
sc009_spa_max	什么？这么快？泡温泉不应该多泡会儿吗？最起码得泡到皮肤起皱吧。这样我才能在战斗中更好地发挥啊。
sc010_spa_1	啊～这才是我所谓的放松嘛。
sc010_spa_2	哇，你这主意真不错呢，亲爱的♥我也喜欢美容院和芳疗啊。
sc010_spa_3	唉，我一靠近，你就逃走！你这欲擒故纵的小把戏还要玩多久？
sc010_spa_max	呃，先动心的人就输了，对吧？但是就恶魔来说，谁知道会发生什么事呢。所以，顺其自然吧，亲爱的♥
sc011_spa_1	这是我努力所得的回报吗？
sc011_spa_2	这种例行公事对我的健康来说非常重要，所以请不要打扰我。
sc011_spa_3	我从来没泡过这么棒的温泉！……你那是什么表情？你不信我？真是过分，恶魔先生！
sc011_spa_max	哈喽，恶魔先生。就是现在！我今天一定要逼你说出来！我真的受够了！
sc012_spa_1	那个……别这样盯着我看。这样……很怪。
sc012_spa_2	只招募Child，其他的什么都不做，这样真的能成为魔王吗？Child愈多，就愈难控制喔。
sc012_spa_3	你呼唤了我吗，队长？看来你需要我的帮助。我可以帮你哦。
sc012_spa_4	不管你再怎么努力，也不像个恶魔，队长。我相信你喔。
sc012_spa_max	别松开我的手。我会竭尽所能帮助你。我相信你一定能当上魔王的。
sc013_spa_1	休息太久会不会让我们露出破绽……？
sc013_spa_2	呼……我感觉好多了。我今天头没那么痛了。嗯。相对而言。
sc013_spa_3	呃……和我在一起一定很无聊吧。你为什么不去找其他Child聊天？
sc013_spa_4	我就知道你会来找我。你太执着了。总之，发生什么事了？我反正也没什么事，你说吧。
sc013_spa_max	我们不如来聊聊爱情吧？只有光速是亘古不变的。所以「你是我的光」这种说法，是一种极度浪漫的表达方式。
sc014_spa_1	这地方还真华丽。谢谢你，主人。
sc014_spa_2	请不要屈服于歪理邪说！邪恶这个属性并不适合你，主人。
sc014_spa_3	如果只有身死才能维持正义，那我可以坦然接受死亡。……你在生什么气啊？
sc014_spa_4	我希望总有一天，我能成为你这样的人，一位真正的正义守护者。
sc014_spa_5	我就是主人的信徒。我会根据你的命令来实行正义。现在，请告诉我，你心中的世界是什么样子。
sc014_spa_max	你不用再为别的事情发愁了，主人。你现在只需走在属于你自己的道路上，做你一直在做的事情。我会跟随着你的……
sc017_spa_1	感觉我舒服得……快融化了……
sc017_spa_2	你也是来这里泡温泉的吗，主人？我不小心睡着了。呼哈……我醒了，但是我好困啊，我再睡会儿。
sc017_spa_3	主人！今天你是想玩水还是捡东西呢？
sc017_spa_max	虽然很疲惫，但是我今天玩的很开心。现在我感觉好多了！谢谢你带我来泡温泉。你今天想玩些什么呢，主人？
sc018_spa_1	哇。你什么都没看到，对吧？
sc018_spa_2	你是来见我的？骗人。你是来找其他Child的，对吧？果然，恶魔都是骗子。
sc018_spa_3	嗯，你今天会再唱一首歌给暗隆听，对吧？咦？你脸红了耶。你感冒了吗？
sc018_spa_4	嘻嘻……我今天又被夸了！现在心情超级好，所以我会继续帮助你的！
sc018_spa_max	我可以更努力地战斗，但是我不想受伤，因为我讨厌疼痛。但不可否认的是，我确实想要帮你。
sc019_spa_1	你经常入浴吗？
