// key	ITEM_NAME_	ITEM_DESCRIPTION_
10000101	เส้นผมที่สาบสูญ	เส้นผมทุกเส้นทุกส่วนมีร่องรอยของจิตวิญญาณอยู่ในนั้น
10000102	ตะปูขึ้นสนิม	เล็บที่เคลือบด้วยสนิมสีน้ำตาลแดงชวนให้นึกถึงเลือด
10000103	เส้นด้ายอาบสีแดง	ระวังอย่าให้เข็มตำล่ะ\เลือดที่หยดบนเส้นด้ายจะก่อให้เกิดความเกลียดชัง
10000104	เศษเล็บ	ทิ้งเศษเล็บของเจ้าอย่างระมัดระวังด้วยล่ะ\ใครบางคนอาจต้องการเศษเสี้ยววิญญาณของเจ้าที่มีอยู่ในนั้น
10000105	เกลือสีเขม่าควัน	เกลือขับไล่สิ่งชั่วร้าย\เกลือสีเขม่าควันจะเปิดประตูสู่นรก
10000201	ปุยนุ่น	เศษสำลีที่ถูกดึงออกมาจากท้องตุ๊กตาที่ถูกทิ้ง
10000202	ก้อนสำลี	ก้อนเศษสำลี\ที่เก็บมาจากตุ๊กตาที่ถูกทิ้ง
10000203	สำลีเก่าๆ	แม้แต่สิ่งของที่ไม่มีชีวิต เมื่อมีอายุการใช้งานมากขึ้น ก็จะมีพลังมากขึ้นตามไปด้วย
10000204	สำลีใยแมงมุม	สำลีที่ทำจากใยแมงมุมในโลกปีศาจ
10000205	สำลีสปอร์	สำลีนุ่มฟูที่ทำมาจากสปอร์ที่กำลังเบ่งบาน
1010013	มาราคัส	ให้เสียงที่ยอดเยี่ยม เหมาะสำหรับกล่อมเด็กหรือยั่วเย้าศัตรูที่กำลังโกรธ
1010014	มาราคัส	ให้เสียงที่ยอดเยี่ยม เหมาะสำหรับกล่อมเด็กหรือยั่วเย้าศัตรูที่กำลังโกรธ
1010015	มาราคัส	ให้เสียงที่ยอดเยี่ยม เหมาะสำหรับกล่อมเด็กหรือยั่วเย้าศัตรูที่กำลังโกรธ
1010023	ยางลบ	อาวุธโจมตีระยะไกลตามที่เลือกในสนามรบที่รู้จักกันในชื่อ 'ห้องเรียน'\ระวังกระสุนลูกหลงจากพวกเดียวกัน
1010024	ยางลบ	อาวุธโจมตีระยะไกลตามที่เลือกในสนามรบที่รู้จักกันในชื่อ 'ห้องเรียน'\ระวังกระสุนลูกหลงจากพวกเดียวกัน
1010025	ยางลบ	อาวุธโจมตีระยะไกลตามที่เลือกในสนามรบที่รู้จักกันในชื่อ 'ห้องเรียน'\ระวังกระสุนลูกหลงจากพวกเดียวกัน
1010033	ขวดพลาสติก	ขวดพลาสติกบรรจุน้ำอัดลม\อย่าลืมดื่มน้ำเยอะๆ ด้วย
1010034	ขวดพลาสติก	ขวดพลาสติกบรรจุน้ำอัดลม\อย่าลืมดื่มน้ำเยอะๆ ด้วย
1010035	ขวดพลาสติก	ขวดพลาสติกบรรจุน้ำอัดลม\อย่าลืมดื่มน้ำเยอะๆ ด้วย
1020043	อมยิ้ม	ลูกอมเนื้อแข็ง อย่าปล่อยให้ความแข็งของมันทำให้เจ้าสับสนล่ะ\ในฐานะอาวุธ มันก็ไม่ค่อยทนทานสักเท่าไหร่
1020044	อมยิ้ม	ลูกอมเนื้อแข็ง อย่าปล่อยให้ความแข็งของมันทำให้เจ้าสับสนล่ะ\ในฐานะอาวุธ มันก็ไม่ค่อยทนทานสักเท่าไหร่
1020045	อมยิ้ม	ลูกอมเนื้อแข็ง อย่าปล่อยให้ความแข็งของมันทำให้เจ้าสับสนล่ะ\ในฐานะอาวุธ มันก็ไม่ค่อยทนทานสักเท่าไหร่
1020053	ม้วนหนังสือพิมพ์	หนังสือพิมพ์ม้วนนึง\ผู้กล้าวัยละอ่อนมักใช้เป็นดาบ
1020054	ม้วนหนังสือพิมพ์	หนังสือพิมพ์ม้วนนึง\ผู้กล้าวัยละอ่อนมักใช้เป็นดาบ
1020055	ม้วนหนังสือพิมพ์	หนังสือพิมพ์ม้วนนึง\ผู้กล้าวัยละอ่อนมักใช้เป็นดาบ
1020063	ค้อนยาง	ค้อนยางดึ๋งดึ๋งออกแบบโดยเน้นความปลอดภัย\เป็นไอเท็มขายดีเลยล่ะ
1020064	ค้อนยาง	ค้อนยางดึ๋งดึ๋งออกแบบโดยเน้นความปลอดภัย\เป็นไอเท็มขายดีเลยล่ะ
1020065	ค้อนยาง	ค้อนยางดึ๋งดึ๋งออกแบบโดยเน้นความปลอดภัย\เป็นไอเท็มขายดีเลยล่ะ
1020073	ฝาหม้อ	อาวุธประเภทนี้เคยผ่านมือทุกคนมาแล้ว\ใครๆ ก็ใช้ได้ ไม่ว่าจะเป็นผู้ชาย ผู้หญิง เด็ก คนชรา
1020074	ฝาหม้อ	อาวุธประเภทนี้เคยผ่านมือทุกคนมาแล้ว\ใครๆ ก็ใช้ได้ ไม่ว่าจะเป็นผู้ชาย ผู้หญิง เด็ก คนชรา
1020075	ฝาหม้อ	อาวุธประเภทนี้เคยผ่านมือทุกคนมาแล้ว\ใครๆ ก็ใช้ได้ ไม่ว่าจะเป็นผู้ชาย ผู้หญิง เด็ก คนชรา
1030083	ไมค์เดี่ยว	อย่ากังวลว่าจะทำไมค์นี้หล่น\เสาไมค์ก็ใช้เป็นอาวุธชั้นดีได้เช่นกัน
1030084	ไมค์เดี่ยว	อย่ากังวลว่าจะทำไมค์นี้หล่น\เสาไมค์ก็ใช้เป็นอาวุธชั้นดีได้เช่นกัน
1030085	ไมค์เดี่ยว	อย่ากังวลว่าจะทำไมค์นี้หล่น\เสาไมค์ก็ใช้เป็นอาวุธชั้นดีได้เช่นกัน
1030093	ดาวกระจาย	ดาวกระจายขนาดเล็กที่นักลอบสังหารใช้\ต้องรู้เทคนิคการใช้งาน
1030094	ดาวกระจาย	ดาวกระจายขนาดเล็กที่นักลอบสังหารใช้\ต้องรู้เทคนิคการใช้งาน
1030095	ดาวกระจาย	ดาวกระจายขนาดเล็กที่นักลอบสังหารใช้\ต้องรู้เทคนิคการใช้งาน
1030103	นวมต่อยมวย	นวมต่อยมวยสีแดงสด\เมื่อต่อยด้วยสิ่งนี้ แม้แต่ปีศาจก็ถูกน็อคได้
1030104	นวมต่อยมวย	นวมต่อยมวยสีแดงสด\เมื่อต่อยด้วยสิ่งนี้ แม้แต่ปีศาจก็ถูกน็อคได้
1030105	นวมต่อยมวย	นวมต่อยมวยสีแดงสด\เมื่อต่อยด้วยสิ่งนี้ แม้แต่ปีศาจก็ถูกน็อคได้
1030113	โยโย่	พาสุนัขไปเดินเล่น! ทั่วโลก! เกมพันด้าย! เดี๋ยวๆ อันสุดท้ายอะไรน่ะ
1030114	โยโย่	พาสุนัขไปเดินเล่น! ทั่วโลก! เกมพันด้าย! เดี๋ยวๆ อันสุดท้ายอะไรน่ะ
