// key	CHAT_SPA_
sc001_spa_1	呼…沒什麼比寵愛自己一下更好的了♥
sc001_spa_2	體能訓練、戰鬥訓練、培養成邪惡又狡詐的惡魔…你還有許多要學的呢，主人。但是，還請跟莫娜一起努力吧！
sc001_spa_3	你看起來比平常還要開心嘛。你終於放鬆點了嗎？
sc001_spa_max	做什麼都失敗的惡魔。再怎麼努力還是做錯。所以沒有人看得起他。即使如此，我還是認為主人所遇見的惡魔最後都會轉而支持他♥
sc002_spa_1	今天不工作嗎？
sc002_spa_2	現在可不是在這種場合偷懶的時機。主人是…算了。
sc002_spa_3	我們今天可以放鬆點了。如果我們每天都很忙的話，很快就會累壞了。
sc002_spa_max	你笑起來比較好看，主人。什麼？這不太像我會講的話？那就讓我來示範給你看吧。雖然…我也不是那麼會笑。
sc003_spa_1	不行！這邊禁止惡魔進入！
sc003_spa_2	莫娜姐姐不見了…她明明答應要跟妲比一起去的~
sc003_spa_3	主人！今天不用打工嗎？如果你今天休假，那就和妲比一起玩吧！
sc003_spa_max	我們今天要在主人房間貼滿貼紙。明天我們就來玩魔王遊戲！後天我們可以去公園玩溜滑梯！讓我們玩個一整週吧！你也一起跟我玩吧，主人！
sc004_spa_1	你明天想玩些什麼？
sc004_spa_2	隊長！我整天跑來跑去，所以現在已經餓壞了！嘻嘻嘻！
sc004_spa_3	獨自跑來跑去，果然還是滿寂寞的。如果你能夠跟我一起行動就太好了，隊長。嘻嘻…
sc004_spa_max	隊長就是我的一切！他跟我一起奔走，就是我全世界最喜歡的事情！
sc005_spa_1	不要打擾我啦。
sc005_spa_2	你就算在這種地方，還是要表現得像個主人嗎？你真煩人。走開！
sc005_spa_3	你不覺得這裡的Child太懶散了嗎？我們可是處在魔王爭奪戰時期呢！唉…真是的…
sc005_spa_4	不知道為什麼，我今天特別累。我想偶而放輕鬆點也沒關係吧。
sc005_spa_5	聽好了。我可是團隊的重要資產。別在我放鬆的的時候來煩我。給我一點空間的話，我就會在下一場戰鬥中讓你見識我真正的實力。
sc005_spa_max	你幹嘛這麼緊張啊？放輕鬆點。我其實還滿喜歡這個溫泉的。既然你帶我來到這麼好的地方，我下一次戰鬥會全力以赴的。
sc007_spa_1	啊，我的肩膀有點僵硬…咳咳…
sc007_spa_2	一天到晚派羅、派羅、派羅！如果你再在我面前提到那個名字，我就把你打飛！
sc007_spa_3	唯一有資格贏得勝利的，就是專注於現在並且每日奮力戰鬥的人
sc007_spa_max	你還在在意過去的戰敗啊？！笨蛋！只要你有了我，就不會再輸了！
sc008_spa_1	該開始你的訓練了！
sc008_spa_2	你表現得很可疑。你是想讓我放鬆警戒，然後趁機背叛我嗎？哈！這是不可能的。
sc008_spa_3	我喜歡這個溫泉。只是有魯蛇一直煩我。
sc008_spa_4	溫泉真的能讓人沉靜下來。但可別誤會了。我的態度可不會因為你帶我來這裡就有大轉變的。
sc008_spa_max	接受這種招待真的沒關係嗎？我不確定。算了，我也不是很在意。我下次戰鬥的時候再回報你好了。對吧？
sc009_spa_1	可別以為這場秀是免費的啊。
sc009_spa_2	你是叫我去休息沒錯，但那是因為你之後要再讓我累得像條狗一樣，對吧？我很確定我一定會為此付出代價的。
sc009_spa_3	真是多餘的關心。這並不會讓我信任你的。…什麼？我們是朋友？嗯…那麼我就相信你吧。
sc009_spa_4	這時機正好，反正我也受夠戰鬥了。我這次要來好好地放鬆一下。
sc009_spa_max	什麼？你該不會是要叫我起來了吧？如果你要讓我泡溫泉的話，起碼也讓我泡到皮膚起皺吧。這樣我戰鬥時才能夠打得更好啊。
sc010_spa_1	啊～這才是我所謂的放鬆嘛。
sc010_spa_2	哇，你真是難得想出了個好主意呢，親愛的♥但是我也滿喜歡美容院和芳療的。
sc010_spa_3	唉，每次我一接近，你就逃走！你到底還要假裝欲擒故縱多久？
sc010_spa_max	呃，最先墜入愛河的就輸了，對吧？但是就惡魔來說，誰知道會發生什麽事呢。所以就順其自然吧，親愛的♥
sc011_spa_1	這是我努力所得的回報嗎？
sc011_spa_2	這項例行公事對維持我的健康來說非常重要，所以請不要打擾我。
sc011_spa_3	我從來沒泡過這麼棒的溫泉！…你那表情是什麼意思？你不相信我嗎？真是過分，惡魔先生！
sc011_spa_max	哈囉，惡魔先生。就是現在！我今天一定要逼你說出口！我已經受夠等待了！
sc012_spa_1	那個…別這樣盯著我看。這樣…很怪。
sc012_spa_2	只招募Child但其他什麽都不做，真的能夠成為魔王嗎？擁有愈多Child，就愈難控制他們喔。
sc012_spa_3	你呼喚了我嗎，隊長？看來你需要我的幫助。我是可以幫你的忙啦。
sc012_spa_4	不管再怎麼努力，你還是一點都不像個惡魔，隊長。我想我可能可以相信你喔。
sc012_spa_max	別放開我的手。我會盡我所能地來幫助你。而且我會確保你當上魔王的。
sc013_spa_1	休息太久不會容易讓我們露出破綻嗎…？
sc013_spa_2	呼…我感覺好多了。我今天頭痛沒那麼難受了。嗯。但這只是相對而言。
sc013_spa_3	呃…和我一起一定很無聊吧。跟其他Child聊天不是比較好嗎？
sc013_spa_4	我就知道你會來找我。你果然十分頑固。總之，發生什麼事了嗎？我時間很多，所以我就聽你說吧。
sc013_spa_max	我們不如來聊聊愛情吧？只有光速是亙久不變的。所以「你是我的光」這種說法，是種極度浪漫的表達方式。
sc014_spa_1	這地方可真是華麗。謝謝你，主人。
sc014_spa_2	請不要屈服於不講道理的事物！邪惡並不適合你，主人。
sc014_spa_3	如果維持正義必須讓我一死，我也能夠無懼地面對死亡。…你為何那麼生氣啊？
sc014_spa_4	我很嚮往像你一樣，主人。如果我以你為榜樣，有天我會重生為真正的正義守護者。
sc014_spa_5	我就是主人的信徒。我會依照你的命令來實行正義。現在，請告訴我，你心中的世界是什麼樣子。
sc014_spa_max	你不需要再受苦受罪了，主人。你只要走在自己的道路上，就像你一直在做的。我會跟隨著你的…
sc017_spa_1	感覺我舒服得…快融化了…
sc017_spa_2	你也是來這裡泡溫泉的嗎，主人？我一定是不小心睡著了。呼哈…我現在醒來了，但是我想我要再睡一下。
sc017_spa_3	主人！今天想跟我玩你丟我撿嗎？還是你想玩水呢？
