// key	SCENARIO_LOCATION_
AFEWDAYSAGO	数天前
AFEWHOURSAFTER	几小时后的教室
AFEWHOURSAGO	几小时前
AFTERAFEWDAYS	几天后
ANHOURAGO	一小时前……
ANHOUREFTER	一个小时后
AWHILEAFTER	稍晚
AWHILEAGO	不久之前
BELIVE	过了一会
CAFE1	市内──午后的咖啡厅
HOME1	市内──家
HOME2	市内──放松的家
HOME3	市内──陷入危机的家
HOME4	市内──熟悉的家
hospital	医院
HOSPITAL	病院
LONGAGO	很久以前
NAMSAN	市内──某一条街上
PRESENT	回到现在
SATANTOURNAMENTSTART	紧接在魔王争夺战开始后
SCHOOLSECRETLABOARTORY	圣迈克尔学校秘密实验室
SOMEWHEREINTHEHELL	回到过去，魔界的某处
STMICHAEL	东京，圣迈克尔学校
STREET1	市内──晚上的街道
STREET2	市内──小巷内
STREET3	市内──人迹罕至的小巷内
STREET4	市内──某条小巷内
TEMPORARYLODGINGS	临时庇护所
THEDAY	那天
THEDAY_ONEDAYAGO	那天的前一天
YESTERDAY	前一天
