// key	ITEM_NAME_	ITEM_DESCRIPTION_
10000101	落发	这缕头发中的每一根，都有灵力的痕迹。
10000102	锈钉	上面覆盖着如血迹般锈蚀的钉子。
10000103	染红的丝线	小心别被针扎到了。\被血染红的丝线会招来怨恨。
10000104	指甲	小心处理剪下来的指甲。\可能会有人觊觎你残留在上面的灵魂。
10000105	黑盐	盐能驱魔；\黑盐则能开启地狱之门。
10000201	填充棉	从遗弃玩偶的肚子里抽出的棉花。
10000202	棉花团	从遗弃玩偶中收集的\棉花团。
10000203	老旧棉花	就算是无生命的物件，也会随着时间而诞生出力量。
10000204	蜘蛛网棉	以魔界蜘蛛网制作的棉花。
10000205	孢子棉	以盛开的孢子所制作的棉花。
1010013	嘎啦嘎啦	能发出轻快的声音。适合用来安抚宝宝，或是挑衅发怒的对手。
1010014	嘎啦嘎啦	能发出轻快的声音。适合用来安抚宝宝，或是挑衅发怒的对手。
1010015	嘎啦嘎啦	能发出轻快的声音。适合用来安抚宝宝，或是挑衅发怒的对手。
1010023	橡皮擦	在名为「教室」的战场上，这是远距离攻击的最佳手段。\但要小心被友军的流弹波及。
1010024	橡皮擦	在名为「教室」的战场上，这是远距离攻击的最佳手段。\但要小心被友军的流弹波及。
1010025	橡皮擦	在名为「教室」的战场上，这是远距离攻击的最佳手段。\但要小心被友军的流弹波及。
1010033	塑胶瓶	装有碳酸饮料的塑胶瓶。\在战斗结束后别忘了补充水分。
1010034	塑胶瓶	装有碳酸饮料的塑胶瓶。\在战斗结束后别忘了补充水分。
1010035	塑胶瓶	装有碳酸饮料的塑胶瓶。\在战斗结束后别忘了补充水分。
1020043	棒棒糖	附在棒子上又甜又硬的糖果。\但是糖果部分的耐用度却远不及棒子。
1020044	棒棒糖	附在棒子上又甜又硬的糖果。\但是糖果部分的耐用度却远不及棒子。
1020045	棒棒糖	附在棒子上又甜又硬的糖果。\但是糖果部分的耐用度却远不及棒子。
1020053	卷起来的报纸	一份卷起来的报纸。\是初出茅芦的勇者们爱用的剑。
1020054	卷起来的报纸	一份卷起来的报纸。\是初出茅芦的勇者们爱用的剑。
1020055	卷起来的报纸	一份卷起来的报纸。\是初出茅芦的勇者们爱用的剑。
1020063	橡胶锤	软软的橡胶锤。\该武器考虑到了安全性，成为销售冠军。
1020064	橡胶锤	软软的橡胶锤。\该武器考虑到了安全性，成为销售冠军。
1020065	橡胶锤	软软的橡胶锤。\该武器考虑到了安全性，成为销售冠军。
1020073	锅盖	你也应该有拿过这个东西。\无论男女老幼都能使用的武器。
1020074	锅盖	你也应该有拿过这个东西。\无论男女老幼都能使用的武器。
1020075	锅盖	你也应该有拿过这个东西。\无论男女老幼都能使用的武器。
1030083	立式麦克风	该选哪个当武器才好呢……\是麦克风还是立架呢……
1030084	立式麦克风	该选哪个当武器才好呢……\是麦克风还是立架呢……
1030085	立式麦克风	该选哪个当武器才好呢……\是麦克风还是立架呢……
1030093	手里剑	异国的暗杀者所使用的小型手里剑。\投掷起来需要一定的技术。
1030094	手里剑	异国的暗杀者所使用的小型手里剑。\投掷起来需要一定的技术。
1030095	手里剑	异国的暗杀者所使用的小型手里剑。\投掷起来需要一定的技术。
1030103	拳击手套	赤红色的拳击手套。\被这玩意击中，连恶魔都会被打倒。
1030104	拳击手套	赤红色的拳击手套。\被这玩意击中，连恶魔都会被打倒。
1030105	拳击手套	赤红色的拳击手套。\被这玩意击中，连恶魔都会被打倒。
1030113	溜溜球	溜小狗！\时钟摆！
1030114	溜溜球	溜小狗！\时钟摆！
1030115	溜溜球	溜小狗！\时钟摆！
1040143	高速飞镖	被改造成速度更快的飞镖……\但依然是普通的飞镖。
1040144	高速飞镖	被改造成速度更快的飞镖……\但依然是普通的飞镖。
1040145	高速飞镖	被改造成速度更快的飞镖……\但依然是普通的飞镖。
1040153	魔杖	按下它，可射出花粉。\落入坏人手中，它将变成让人极度反感的武器。
1040154	魔杖	按下它，可射出花粉。\落入坏人手中，它将变成让人极度反感的武器。
1040155	魔杖	按下它，可射出花粉。\落入坏人手中，它将变成让人极度反感的武器。
1040163	迷你巴祖卡	巴祖卡炮的小模型。\但是拿着这个走在路上，有可能会因违反枪炮弹药刀械管制条例被捕。
1040164	迷你巴祖卡	巴祖卡炮的小模型。\但是拿着这个走在路上，有可能会因违反枪炮弹药刀械管制条例被捕。
1040165	迷你巴祖卡	巴祖卡炮的小模型。\但是拿着这个走在路上，有可能会因违反枪炮弹药刀械管制条例被捕。
1040173	停止信号	画上了停止标示的告示牌。\由铁制成，并有强大的制止力。
1040174	停止信号	画上了停止标示的告示牌。\由铁制成，并有强大的制止力。
1040175	停止信号	画上了停止标示的告示牌。\由铁制成，并有强大的制止力。
1050193	斧	无论是人类或是恶魔都能轻易斩断的实用武器。\也很适合用来砍柴。
1050194	斧	无论是人类或是恶魔都能轻易斩断的实用武器。\也很适合用来砍柴。
1050195	斧	无论是人类或是恶魔都能轻易斩断的实用武器。\也很适合用来砍柴。
1050203	斧枪	从刀柄到刀刃的每一处都是精心制作。\但要练习一阵子才能用得好。
1050204	斧枪	从刀柄到刀刃的每一处都是精心制作。\但要练习一阵子才能用得好。
1050205	斧枪	从刀柄到刀刃的每一处都是精心制作。\但要练习一阵子才能用得好。
1050213	赝品偃月刀	从长胡子的老伯伯到美少女都喜欢选用这种武器。\虽然没有刀刃，但是逼真的外型让它成为了Cosplay中常用的道具。
1050214	赝品偃月刀	从长胡子的老伯伯到美少女都喜欢选用这种武器。\虽然没有刀刃，但是逼真的外型让它成为了Cosplay中常用的道具。
1050215	赝品偃月刀	从长胡子的老伯伯到美少女都喜欢选用这种武器。\虽然没有刀刃，但是逼真的外型让它成为了Cosplay中常用的道具。
1050223	双节棍	阿恰～！来接接看我的双截棍吧！\一不小心砸到脸上的话可就出丑喽。
1050224	双节棍	阿恰～！来接接看我的双截棍吧！\一不小心砸到脸上的话可就出丑喽。
1050225	双节棍	阿恰～！来接接看我的双截棍吧！\一不小心砸到脸上的话可就出丑喽。
1050303	可爱扫帚	用来当做高级摆饰的扫帚。\实用性为零。
1050304	可爱扫帚	用来当做高级摆饰的扫帚。\实用性为零。
1050305	可爱扫帚	用来当做高级摆饰的扫帚。\实用性为零。
1050313	神社巫女的匕首	神社巫女所携带的护身匕首。\作为武器，它已经够小了，但作为饰品，它还是过于笨重。
1050314	神社巫女的匕首	神社巫女所携带的护身匕首。\作为武器，它已经够小了，但作为饰品，它还是过于笨重。
1050315	神社巫女的匕首	神社巫女所携带的护身匕首。\作为武器，它已经够小了，但作为饰品，它还是过于笨重。
1050333	精萃烧瓶	含有神祕成分的神秘烧瓶。\因制造方法遗失，所以无法再制。
1050334	精萃烧瓶	含有神祕成分的神秘烧瓶。\因制造方法遗失，所以无法再制。
1050335	精萃烧瓶	含有神祕成分的神秘烧瓶。\因制造方法遗失，所以无法再制。
1050343	圣诞老人的拐杖	装满糖果的枴杖。\愿善良的恶魔都能得到祝福。
1050344	圣诞老人的拐杖	装满糖果的枴杖。\愿善良的恶魔都能得到祝福。
1050345	圣诞老人的拐杖	装满糖果的枴杖。\愿善良的恶魔都能得到祝福。
1050363	神圣惩罚之矛	从玛亚特灵魂的一部分中所诞生的圣枪。\其枪刃可能会朝向自己。
1050364	神圣惩罚之矛	从玛亚特灵魂的一部分中所诞生的圣枪。\其枪刃可能会朝向自己。
1050365	神圣惩罚之矛	从玛亚特灵魂的一部分中所诞生的圣枪。\其枪刃可能会朝向自己。
1050373	邪恶之花	一把外型奇异的剑，专为阿斯塔蒂修改制作。\一旦被刺中就很难拔出来……
1050374	邪恶之花	一把外型奇异的剑，专为阿斯塔蒂修改制作。\一旦被刺中就很难拔出来……
1050375	邪恶之花	一把外型奇异的剑，专为阿斯塔蒂修改制作。\一旦被刺中就很难拔出来……
1050383	狄蜜特针筒	流过血管的愤怒提供了力量。\一支充满了狄蜜特之怒的针筒。
1050384	狄蜜特针筒	流过血管的愤怒提供了力量。\一支充满了狄蜜特之怒的针筒。
1050385	狄蜜特针筒	流过血管的愤怒提供了力量。\一支充满了狄蜜特之怒的针筒。
1050413	新娘捧花	永生花制成的捧花。\绝不凋谢的永恒誓言。
1050414	新娘捧花	永生花制成的捧花。\绝不凋谢的永恒誓言。
1050415	新娘捧花	永生花制成的捧花。\绝不凋谢的永恒誓言。
1050423	排球	特里斯坦的沙滩排球。有着非凡的弹性和持久性。
1050424	排球	特里斯坦的沙滩排球。有着非凡的弹性和持久性。
1050425	排球	特里斯坦的沙滩排球。有着非凡的弹性和持久性。
1050433	钢铁玫瑰	随着布丽姬的魔力而胀大或缩小的宝石。\里面没有玫瑰。
1050434	钢铁玫瑰	随着布丽姬的魔力而胀大或缩小的宝石。\里面没有玫瑰。
1050435	钢铁玫瑰	随着布丽姬的魔力而胀大或缩小的宝石。\里面没有玫瑰。
1050443	冥河圣杯	掌握丽塔命运的冥河圣杯。狂热信徒的证明。
1050444	冥河圣杯	掌握丽塔命运的冥河圣杯。狂热信徒的证明。
1050445	冥河圣杯	掌握丽塔命运的冥河圣杯。狂热信徒的证明。
1050453	孤独之羽	附有奇异魔力的羽毛。
1050454	孤独之羽	附有奇异魔力的羽毛。
1050455	孤独之羽	附有奇异魔力的羽毛。
1050463	哥特式阳伞	巴托里的哥特式阳伞。\抵挡紫外线的神器。有玫瑰干花的淡淡香气。
1050464	哥特式阳伞	巴托里的哥特式阳伞。\抵挡紫外线的神器。有玫瑰干花的淡淡香气。
1050465	哥特式阳伞	巴托里的哥特式阳伞。\抵挡紫外线的神器。有玫瑰干花的淡淡香气。
1050473	钻石麦克风	娜塔莉丝的特制采访麦克风。\面对这支麦克风时，每个人都会忍不住坦白自己的秘密。
1050474	钻石麦克风	娜塔莉丝的特制采访麦克风。\面对这支麦克风时，每个人都会忍不住坦白自己的秘密。
1050475	钻石麦克风	娜塔莉丝的特制采访麦克风。\面对这支麦克风时，每个人都会忍不住坦白自己的秘密。
1050483	普拉帕荧光棒	Planet Party粉丝后援会的限量版荧光棒。\演唱会里不可或缺的物品。
1050484	普拉帕荧光棒	Planet Party粉丝后援会的限量版荧光棒。\演唱会里不可或缺的物品。
1050485	普拉帕荧光棒	Planet Party粉丝后援会的限量版荧光棒。\演唱会里不可或缺的物品。
1050493	新年玩具，毽子	听说是传统的冬日玩具。\曾被认为是造成副舟状骨综合症的主要原因。
1050494	新年玩具，毽子	听说是传统的冬日玩具。\曾被认为是造成副舟状骨综合症的主要原因。
1050495	新年玩具，毽子	听说是传统的冬日玩具。\曾被认为是造成副舟状骨综合症的主要原因。
1050503	黛娜的权杖	黛娜用来引导迷失羔羊的权杖。
1050504	黛娜的权杖	黛娜用来引导迷失羔羊的权杖。
1050505	黛娜的权杖	黛娜用来引导迷失羔羊的权杖。
1050523	戴维洛伊德Ⅵ	记录许多真相的魔法拍立得相机。
1050524	戴维洛伊德Ⅵ	记录许多真相的魔法拍立得相机。
1050525	戴维洛伊德Ⅵ	记录许多真相的魔法拍立得相机。
1050533	丽莫斯的三叉戟	丽莫斯专用的短三叉戟，能让她迅速且准确地\插起甜甜圈。也可以当叉子用。
1050534	丽莫斯的三叉戟	丽莫斯专用的短三叉戟，能让她迅速且准确地\插起甜甜圈。也可以当叉子用。
1050535	丽莫斯的三叉戟	丽莫斯专用的短三叉戟，能让她迅速且准确地\插起甜甜圈。也可以当叉子用。
1050543	魔枪：波尔福克	诺爱尔所持有的兵器。\可毫无阻碍地攻击她想攻击的地点。
1050544	魔枪：波尔福克	诺爱尔所持有的兵器。\可毫无阻碍地攻击她想攻击的地点。
1050545	魔枪：波尔福克	诺爱尔所持有的兵器。\可毫无阻碍地攻击她想攻击的地点。
1050553	该隐的权杖	象征神圣权威的权杖。
1050554	该隐的权杖	象征神圣权威的权杖。
1050555	该隐的权杖	象征神圣权威的权杖。
1050563	传奇水枪	强大的水枪。\它的名字是喷水龙。
1050564	传奇水枪	强大的水枪。\它的名字是喷水龙。
1050565	传奇水枪	强大的水枪。\它的名字是喷水龙。
1050573	庆野的剪刀	据说，你在镜前把剪刀放在嘴里，\你就能看见你要娶的人。
1050574	庆野的剪刀	据说，你在镜前把剪刀放在嘴里，\你就能看见你要娶的人。
