// key	CHAT_
c001_17_boss_long	锵～锵！你好，可爱的主人♥
c001_17_boss_short	欢迎光临！
c001_17_ctskill	击中了！
c001_17_death_1	啊啊……！战略性撤退……
c001_17_death_2	呜哇……
c001_17_drive	来啦～！轮到莫娜喽～！
c001_17_hit_1	呀！
c001_17_hit_2	好痛哦！
c001_17_hit_3	啊……
c001_17_prskill	觉悟吧！
c001_17_skill	好的，主人！
c001_17_spa	呀～！主人这个笨蛋～！
c001_17_startbt	今天也将是美好的一天！
c001_17_story1	你好～可爱的主人～♥\我是主人的助手莫娜哦！
c001_17_story2	如果你现在不起床，就会发生很可怕的事哦～♥
c001_17_story3	天啊！真的不知道这些发育中的男孩们在想什么呢？
c001_17_true1	主人～！如果你想有所作为，就必须成熟一点！
c001_17_true2	你就这么想了解我吗？\抱歉，我的身高是个秘密哦！
c001_17_true3	你可千万别小看了魔王争夺战！\每天战斗也很累的！\所以偶尔也应该享受享受！
c001_17_victory	我们赢了！
c001_boss_long	我来了哦～♥
c001_boss_short	让我来惩罚你♥
c001_ctskill	我希望你已经把遗言想好了。
c001_death_1	我就知道会发生这种事……
c001_death_2	呃啊…！
c001_drive	交给我吧♥
c001_hit_1	咿！
c001_hit_2	啊？！
c001_hit_3	就这样了？
c001_prskill	麻烦你退场吧♥
c001_skill	破绽百出哦♥
c001_spa	呼……没什么比宠爱自己一下更好的了♥
c001_startbt	我一定会为你赢得胜利的，主人♥
c001_story1	开启全力模式！\魔王争夺战的胜利是属于我们的！
c001_story2	我要小小休息一下哦♥
c001_story3	禁止闲聊哦！我们今天还有很多事情要做呢！
c001_true1	你好像很清闲啊，主人？魔王争夺战已经开始了。\如果不小心点，你会被生吞活剥的。
c001_true2	今天的气象预报是……滂沱大雨！\我们会让其他魔王候补生的血像大雨一样倾盆而下的♥
c001_true3	这次的魔王争夺战中各种意外接踵而至。\比赛突然宣布开始，挑战者当中还出现了不少新面孔。\不过，你别担心，主人。我会想办法的♥
c001_victory	你有看到我的表现吗，主人？
c002_boss_long	你看起来很惊讶呢。
c002_boss_short	欢迎你来。
c002_ctskill	你比我想象的还行嘛。
c002_death_1	我想……我低估你了。
c002_death_2	离我的最后一口气还剩……两秒……
c002_drive	让我来帮忙。
c002_hit_1	咕呜！
c002_hit_2	呜啊!
c002_hit_3	啊……
c002_prskill	别太小看我了。
c002_skill	请退下。
c002_spa	今天不工作吗？
c002_startbt	我来处理吧。
c002_story1	我是魅魔丽莎。我是来这里服侍新主人的。
c002_story2	我到目前为止已经服侍了两位主人……看来这个世界上真的没有完美的恶魔呢。
c002_story3	让我们将目标设在做到最好，而不是足够就好。
c002_true1	我可以忍受许多事情，唯独忍受不了没有假期。
c002_true2	嗯……主人要赢得魔王争夺战真的非常困难呢。\噢，你好，主人。我没看到你在那里。
c002_true3	身为一名魔王候补生，你的进步值得嘉奖。\当然，你还有很长的路要走，不过别担心。\我会竭尽所能，让你成为能够独当一面的恶魔。
c002_victory	跟我想的一样。
c003_15_boss_long	让我踩踩你如何？
c003_15_boss_short	噢呵呵呵呵！妲比魔王大人，登场！
c003_15_ctskill	见识一下魔王妲比的力量吧！
c003_15_death_1	啧，真是嚣张……
c003_15_death_2	唉……
c003_15_drive	现在，跪下吧！
c003_15_hit_1	唔啊！
c003_15_hit_2	咿！
c003_15_hit_3	哈！
c003_15_prskill	你能承受我的力量吗？
c003_15_skill	啊哈哈哈哈！
c003_15_spa	如果每天都能像今天一样就好了～
c003_15_startbt	交给我吧！
c003_15_story1	新魔王，妲比大人登场！\所以，之后请多指教啦。
c003_15_story2	你也许可以愚弄神，但你可愚弄不了妲比魔王！
c003_15_story3	你是说，我妲比魔王，不过是个受过良好教育的跟踪狂？
c003_15_true1	莫娜姐～♥，妲比魔王将来要和莫娜姐结婚哦！
c003_15_true2	呜呜，什么时候才能回魔界啊……\这都是你的错！
c003_15_true3	魔王妲比的计划失败了都是你的错！
c003_15_victory	哈哈哈！这不算什么！
c003_16_boss_long	让我踩踩你如何？
c003_16_boss_short	噢呵呵呵呵！妲比魔王大人，登场！
