// key	CHARACTER_DESCRIPTION_
10100002	เลขานุการคนสวยผู้ช่วยของปีศาจ และหัวหน้าซัคคิวบัสแห่งโลกมนุษย์\เธอเชี่ยวชาญการฝึกปีศาจที่ไม่เอาไหน
10100003	ซัคคิวบัสเก่งกาจผู้มีพรสวรรค์ระดับคลาส SS จะหายตัวไปเมื่อเธอคิดว่าทำงานเสร็จแล้ว
10100004	ดาบิจังปรากฏตัวแล้ว!\แม้จะเป็นสุดขอบโลกปีศาจ แต่ถ้ามีท่านพี่โมนาอยู่ ดาบิก็จะไป!
10100005	นักรบหญิงแห่งความยุติธรรมและการแก้แค้น "ข้าจะกำจัดความชั่วร้ายเพื่อปกป้องคนอ่อนแอ"
10100007	นักรบหญิงผู้จับดาบเพื่อปกป้องตัวเอง "ข้าจะกำจัดศัตรูให้สิ้นซาก"
10100008	ทหารรับจ้างจอมละโมบผู้ต่อสู้ไม่หยุดเพื่อแลกเงิน
10100009	ราชินีของเจ้าที่เกิดจากพยาบาลว่างงานผู้ขี้เบื่อ
10100010	เอาล่ะ คนถัดไป นอนเฉยๆ ทำตัวตามสบายนะ\ข้าไม่เคยฝึกฝน แต่มีความมั่นใจเต็มร้อยเลย!
10100011	ไชลด์ผู้เยือกเย็นที่กำเนิดจากเด็กสาวอัจฉริยะ\"อยู่นิ่งๆ เถอะ เดี๋ยวก็จบแล้ว"
10100012	จงกลายเป็นความยุติธรรมแห่งดวงดาวและสาดส่องแสงลงมาบนโลกแห่งนี้!
10100015	สุนัขที่คอยปกป้องวิญญาณเจ้านายที่ตายไปแล้ว เชื่อฟังไชลด์ที่มีกลิ่นเหมือนมาสเตอร์เก่าของมัน
10100016	"ได้ยินเสียงแห่งมิตรภาพของข้าไหม"
10100017	ความโกรธคือพลังของเธอ! เธอสยบศัตรูด้วยโทสะที่อยู่เหนือการควบคุม
10100018	ชีวิตคือการเลือก แต่ในท้ายที่สุด โชคชะตาของทุกคนล้วนถูกตัดสินด้วยการทอยลูกเต๋า
10100019	โอตาคุติดเกมผู้ประกาศตัวว่าเป็นเด็กหนุ่มรูปงามยอดอัจฉริยะ...
10100021	เด็กสาวบ้าพลังแต่จริงใจผู้ทำทุกอย่างด้วยความคึกคะนอง ส่วนใหญ่เธอจะเงียบเพื่อหลีกเลี่ยงการปฏิสัมพันธ์กับผู้อื่น
10100022	ไม่ นี่ไม่ใช่คอสตูมอัศวินรัตติกาล ปีศาจต่างหากเล่า!
10100023	ข้างดงาม เจ้าเองก็คิดเช่นเดียวกันใช่ไหม?\นี่ เจ้าเองก็เป็นทาสเสน่ห์ของข้าใช่ไหม?
10100024	ไชลด์ผู้เป็นดั่งดวงจันทร์ส่องสว่างชนะยามรัตติกาล\ถ้าภัยร้ายซ่อนอยู่ในความมืด ข้าจะส่องสว่างให้เอง
10100025	นักสืบสาวน้อยที่ "ขอเอาชื่อย่าเป็นเดิมพัน!" ปรากฏตัวขึ้น\ท่ามกลางความโกลาหลของศึกชิงบัลลังก์ราชาปีศาจ
10100026	"เมี้ยว เอ้ย... ข้าหมายถึงว่า ข้าจะคอยปกป้องเจ้าตลอดไป"
10100027	"การได้เป็นเมดที่เพียบพร้อม นั่นคือจุดมุ่งหมายในชีวิตของข้า\ทำอาหาร ทำความสะอาด! ข้าจะทำทุกอย่าง... ให้เนี้ยบเลย!
10100028	"เจ้าห้ามเชื่อใครทั้งสิ้น นอกจากตัวเอง"
10100029	ไชลด์ผู้นี้ถูกปีศาจที่ด้อยกว่าอัญเชิญมาอย่างผิดพลาด จึงคิดว่าตนเองเป็นแม่มดผู้ยิ่งใหญ่จากโลกอื่น
10100030	ผู้ชำนาญการเจรจาที่เดินทางไปมาระหว่างโลกปีศาจและโลกมนุษย์\ความเชื่อมั่นสำคัญกว่าทุกสิ่งทุกอย่างนะ
10100031	สาวต่อต้านสังคมผู้มีพละกำลังแกร่งกล้า ความใฝ่ฝันของเธอคือการเป็นนักสะสมอันดับหนึ่งของโลก
10100032	รักข้าคนเดียวเท่านั้น!\ไชลด์แสนซื่อผู้อุทิศทุกอย่างให้กับความรัก
10100033	"ข้าไม่ต้องการให้ชายใดมาหลงรัก ข้าอยู่ด้วยตัวเองได้สบายมาก"
10100034	"เราต้องแก้ไขสิ่งผิดในโลกบิดเบี้ยวนี้ให้ถูกต้องด้วยกฎหมายที่เข้มงวด!"
10100035	"เจ้าไม่ใช่เด็กอีกต่อไปแล้ว เจ้าพึ่งพิงข้าได้ในคราวจำเป็น"
10100036	"มีกลอนสั้นๆ จะเอ่ยให้ฟัง เฉกเช่นเมฆาที่ลอยคว้าง ผู้พเนจรไม่อาจทานแรงลมโหมกระหน่ำ"
