// key	BACKGROUND_IMAGE_NAME_	BACKGROUND_IMAGE_DESCRIPTION_
1	พื้นหลังสีเทา	มิติย่อยสีเทาที่ทำให้ปีศาจรู้สึกผ่อนคลายมากที่สุด
10	ไม่มีชื่อ	[ไม่มีคำอธิบาย]
2	พื้นหลังสีเหลือง	มิติย่อยสีเหลืองที่คล้ายกับอาทิตย์อัสดงของโลกปีศาจ
2001	ถนนสู่ร้านสะดวกซื้อ	ถนนที่มุ่งสู่ร้านสะดวกซื้อที่เป็นที่ทำงานของคุณ
2002	ร้านกาแฟยามบ่าย	สถานที่ปลีกวิเวกยามบ่ายของเหล่าปีศาจ
2003	ล็อบบี้ห้างสรรพสินค้า	ล็อบบี้ของห้างสรรพสินค้าที่เป็นระเบียบเรียบร้อย
2004	ล็อบบี้โรงแรม	โรงแรมหรูที่ลือกันว่าปีศาจชอบมาพัก
2005	ห้องโถงอพาร์ตเมนต์	ชายชราท่าทางน่ากลัวจะตามล่าใครก็ตามที่ก่อความวุ่นวาย
2006	สวนสาธารณะตอนเช้า	ที่สวนสาธารณะอันเงียบสงบแห่งนี้ มีการสร้างพันธสัญญามากอย่างไม่น่าเชื่อ
2007	บูธขายตั๋ว	ถึงตอนนี้จะไม่ค่อยมีเวลาดูหนังใหม่ๆ แต่ว่า...
2008	ริมฝั่งแม่น้ำ	เส้นทางริมแม่น้ำที่มีกลิ่นน้ำขังจางๆ โชยมา
2009	ยิม	เดือนนี้คิดจะไปให้ได้อย่างน้อยห้าครั้ง
2010	สถานีรถไฟ	ชีวิตของฉันก็เหมือนรถไฟที่วิ่งไปตามราง
2011	ระเบียงร้านกาแฟ	ร้านกาแฟที่คุณต้องคอยเตือนให้พนักงานปั๊มบัตรสะสมแต้มอยู่เรื่อย
2012	ถนนชัน	พยายามแข็งใจพาขาที่สั่นระริกของคุณให้ขึ้นไปถึงยอด
2013	ห้องสมุด	ชู่ว! ห้ามส่งเสียงดังในห้องสมุด! แล้วคืนหนังสือให้ตรงเวลาด้วยล่ะ!
2014	ห้องเรียนว่างเปล่า	สัมผัสได้ถึงความขมขื่นของผู้เข้าสอบจำนวนมาก
2015	โรงเรียน	ผู้ทำพันธสัญญาในอนาคตมารวมตัวกันในที่เดียว
2016	ประตูหลังโรงเรียน	สถานที่แห่งความทรงจำในช่วงชีวิตที่เริ่มผลิบาน และ ไม่มีปีศาจเข้ามาเกี่ยวข้องเลย
2017	ถนนตอนฝนตก	กลิ่นดินโชยทั่วถนนที่เปียกฝน
2018	ห้างสรรพสินค้า	จุดสร้างพันธสัญญายอดนิยม เจอกันตรงประตูทางเข้านะ!
2019	สนามเด็กเล่นโรงเรียน	ลานของโรงเรียนที่ได้รับการดูแลรักษาอย่างดี โชคดีที่ตอนนี้ไม่มีใครอยู่แถวนี้
2020	ประตูหน้ามหาวิทยาลัย	เหล่าคนใหญ่คนโตจอมเอาแต่ใจในอนาคตศึกษาอยู่ที่นี่
2021	คาเฟ่ของหวาน	คาเฟ่แห่งนี้ขายขนมหวานที่อร่อยที่สุดในย่านนี้
2022	ล็อบบี้อาคาร	อาคารแห่งนี้เป็นทั้งสำนักงานและอพาร์ตเมนต์ และมีการรักษาความปลอดภัยอย่างเคร่งครัด
2023	ทางเข้าโรงภาพยนตร์	โรงภาพยนตร์ 109CINEMAS ที่ตั้งอยู่ใจกลางย่านกลางเมืองพอดีเป๊ะ
2024	โบสถ์ตอนกลางคืน	มีเรื่องเล่าสยองขวัญเกี่ยวกับเอ็กโซซิสต์ที่ทำงานอยู่ที่นี่
2025	ไม่ได้ใช้	[ไม่มีคำอธิบาย]
2026	ถนนเงียบสงัด	ถนนเงียบสงัดที่ไม่มีใครใช้สัญจร
2027	ริมฝั่งแม่น้ำตอนกลางคืน	สวนสาธารณะที่สว่างเพราะแสงไฟจากป้ายนีออน
2028	สวนสาธารณะตอนกลางคืน	เส้นทางผ่านสวนสาธารณะที่ทำให้คุณรู้สึกขนหัวลุกตอนกลางคืน
2029	ร้านกาแฟตอนเช้า	ร้านกาแฟที่มีแสงสวยและบาริสต้าฝีมือดี
2030	เส้นทางจักรยาน	สวนสาธารณะซึ่งมีเส้นทางที่ได้รับการดูแลรักษาอย่างดีสำหรับปั่นจักรยาน
2031	โถงทางเดินอาคาร	ระเบียงที่ประดับประดาด้วยดอกไม้ในกระถางซึ่งได้รับการดูแลอย่างดีจนไร้ที่ติ
2032	โรงยิม	เรื่องเดียวที่สำคัญที่สุดสำหรับปีศาจคือความแข็งแกร่ง
2033	สลัม	อาจจะดูน่าขนลุก แต่พอคุ้นเคยแล้วก็ไม่มีปัญหา
2034	ถนนตอนกลางคืน	ที่นี่มีเพียงแสงจากไฟถนนและดวงจันทร์
2035	ถนนตอนกลางวัน	ถนนที่เต็มไปด้วยห้างสรรพสินค้าในเมืองที่มีผู้คนสัญจรไปมาอย่างพลุกพล่าน
2036	ตรอก	ตรอกซอยที่พบเห็นแมวได้บ่อยครั้ง
2037	ป้ายรถประจำทาง	รถประจำทางจะหยุดวิ่งในตอนหัวค่ำ
2038	สถานีรถไฟใต้ดิน	รถไฟประหลาดที่มาสายบ่อยกว่ามาตรงเวลา
2039	ชานชาลา	โปรดยืนรอหลังเส้นเพื่อความปลอดภัย
2040	คาเฟ่อ่านหนังสือ	หนังสือส่วนใหญ่ของที่นี่ไม่ค่อยเป็นที่รู้จัก
2041	ตรอกเงียบสงัด	ซอยเงียบๆ สำหรับเดินทางกลับบ้าน
2042	ถนนสายเก่า	ถนนลึกลับที่มีบ้านแบบดั้งเดิมสลับกับบ้านที่ดัดแปลงต่อเติม
2043	วิวระยะไกลของศูนย์การค้า	ภาพเงาของตึกรามบ้านช่องสมัยใหม่ช่างเป็นภาพที่น่าประทับใจ
2044	ภายในศูนย์การค้า	ปีศาจหลงทางพเนจรเข้ามาที่นี่ท่ามกลางแสงไฟวูบไหว
2045	ซากปรักหักพังศูนย์การค้า	มองเห็นทางช้างเผือกได้จากที่นี่
2046	วิวชายฝั่ง	แสงไฟจากเมืองหลอมรวมกับระลอกคลื่นเหนือผิวน้ำของแม่น้ำ
2047	ชายฝั่งตอนเที่ยงคืน	คุณอุตส่าห์มาถึงที่นี่เพื่อตามหาผู้ทำพันธสัญญา
2048	ทิวทัศน์ชายฝั่งตอนกลางคืน	ใครจะไปคิดว่าแค่ก้าวถอยหลังก็จะได้เห็นภาพที่งดงามขนาดนี้
2049	ย่านกลางเมือง	สถานที่เริ่มต้นศึกชิงบัลลังก์จ้าวปีศาจ คุกรุ่นด้วยความปรารถนา
2050	ตีนเขา	จำนวนแสงไฟที่เห็นไกลๆ คือจำนวนของความปรารถนา
2051	เมืองนากาสุตอนตะวันตกดิน	อาคารอพาร์ตเมนต์อยู่ระหว่างก่อสร้าง
2052	เมืองนากาสุตอนเที่ยงคืน	เสียงอึกทึกและความวุ่นวายในยามกลางวันเลือนหายไปเมื่อยามสนธยามาเยือน
2053	เหนือเมืองนากาสุ	บนท้องฟ้าที่เงียบสงบเหนือนากาสุต้องมีปีศาจอยู่แน่นอน
2054	ถนนฮาร์เล็ม	ย่านเริงรมย์ที่เหล่าปีศาจและลูกสมุนเพลิดเพลินท่ามกลางแสงไฟนีออน
2055	อาคารตอนกลางคืน	กลางคืนคือเวลาที่ปีศาจตัวจริงเผยโฉม
2056	ลานจอดเฮลิคอปเตอร์	ลานจอดเฮลิคอปเตอร์ที่ว่างเปล่า
2057	สถานที่ก่อสร้างตอนกลางคืน	สถานที่ก่อสร้างที่ว่างเปล่าเพราะงานเสร็จแล้ว
2058	สถานที่ก่อสร้างตอนเที่ยงคืน	แม้จะมืดค่ำแล้วก็ยังมีเสียงค้อนดังก้องอยู่
2059	โบสถ์น้อย	สถานที่ศักดิ์สิทธิ์ที่เหล่าเอ็กโซซิสต์ใช้ประกอบพิธีกรรม
2060	ห้องเก็บของโรงเรียน	ห้องเก็บของของโรงเรียนที่มีบรรยากาศน่าขนลุกเป็นพิเศษ
2061	ชายหาด	ทรายร้อนระอุสะท้อนแสงแดดเป็นประกายระยิบระยับ
2062	ประภาคาร	ทิวทัศน์มหาสมุทรที่มองเห็นประภาคารอยู่ไกลๆ
2063	อุโมงค์	มองเห็นแสงจากเมืองอยู่ไกลๆ แต่บรรยากาศชวนให้ขนลุก
2064	หอคอยเหล็ก	ภาพทิวทัศน์ของเสาไฟฟ้าที่มีฉากหลังเป็นภาพตะวันตกดินอันสวยงาม
2065	ทะเลสาบ	ทะเลสาบสวยสะดุดตาที่น้ำใสเหมือนกระจก
2066	เส้นทางริมทะเลสาบ	ภาพทิวทัศน์ของทะเลสาบและสะพานที่เหมาะสำหรับการเดินเล่น
2067	บริเวณป่า	กลิ่นดินและกลิ่นหญ้าฉุนที่ผสมผสานกันอย่างลงตัวช่วยให้รู้สึกกระชุ่มกระชวย
2068	เส้นทางไปบ่อน้ำร้อน	ทิวทัศน์ของถนนและขั้นบันไดหินที่นำไปยังบ่อน้ำร้อน
2069	ร้านอาหารญี่ปุ่น	ร้านอาหารญี่ปุ่นสุดหรูที่บริหารงานโดยเชฟผู้ผ่านการฝึกฝนจากแผ่นดินใหญ่
2070	สวนอันเงียบสงบ	มีม้านั่งให้นั่งพักผ่อนใต้ร่มไม้
2071	สวนสนุก	สวนสนุกขนาดเล็กที่มีแฟนคลับจำนวนหนึ่งแวะเวียนมาเป็นประจำ
2072	สวนสนุกตอนเที่ยงคืน	สวนสนุกตอนกลางคืนที่ประดับประดาอย่างสวยงามเพื่อเตรียมพร้อมสำหรับขบวนพาเหรด
2073	สวนสนุกร้าง	สวนสนุกที่ถูกทิ้งร้างเป็นเวลานาน พร้อมชิงช้าสวรรค์ที่ดูเงียบเหงา
2074	บ้านหมีขั้วโลก	พักสักหน่อยนะ คุณหมีขั้วโลก
2075	กรงลิง	กรงที่เต็มไปด้วยลิงและการทะเลาะเบาะแว้งของพวกมัน
2076	พิพิธภัณฑ์สัตว์น้ำ	พิพิธภัณฑ์สัตว์น้ำที่มีสัตว์น้ำทุกขนาดแหวกว่ายอยู่
2077	ทางเดินริมต้นสน	พื้นขรุขระของที่นี่มีเสน่ห์อยู่ไม่น้อย
2078	ตลาดในตอนกลางคืน	ตลาดท่ามกลางงานเทศกาล
2079	ไม่มีชื่อ	ทิวทัศน์ของอาคารที่ทุกคนเรียกว่าเป็นสถานที่ศักดิ์สิทธิ์
2080	ไม่ได้ใช้	[ไม่มีคำอธิบาย]
2081	ซอยตลาด	[ไม่มีคำอธิบาย]
2082	เส้นทางเดินขึ้นเขา	เส้นทางลาดเอียงเล็กน้อยที่ผู้คนนิยมใช้เดินเล่น
2083	ป่าคอนกรีต	ภูมิทัศน์สีเทาหม่นที่เต็มไปด้วยตึกคอนกรีต
2084	ไม่มีชื่อ	ทางข้ามทางแยกในมหานครที่ไม่เคยหลับ
2085	ภายในโบสถ์	เพียงแค่สูดหายใจก็สัมผัสได้ถึงบรรยากาศอันศักดิ์สิทธิ์
2086	ห้องของมาสเตอร์	ถ้าไม่มีงานพาร์ทไทม์และเงินสนับสนุนปีศาจรุ่นใหม่ ก็คงจ่ายค่าเช่าไม่ไหว
2087	โรงน้ำชาของหลันเฟย	โรงน้ำชาที่หลันเฟยเป็นเจ้าของ อย่างน้อยเธอก็เรียกมันว่าโรงน้ำชา แต่ว่า...
2088	รางรถไฟในช่วงฝนตก	ทางออกสถานีที่เปียกน้ำฝน
2089	ครัวของมาสเตอร์	ปรากฏการณ์และอุบัติเหตุทุกรูปแบบล้วนเกิดขึ้นได้ที่นี่
2090	ศูนย์สันทนาการ	เต็มไปด้วยเสียงเชียร์และกลิ่นเหล้าในบางช่วงเวลาของปี
2091	ประตูและลานหน้าปราสาท	คุณสัมผัสได้ถึงประวัติศาสตร์ของจัตุรัสและประตูปราสาท
2092	วัดแสงจันทร์	แสงจากดวงจันทร์ที่เมฆปกคลุมส่องสว่างถึงภายในของวัดที่เงียบสงบแห่งนี้
2093	พระพุทธรูป	พระศรีอริยเมตไตรยแย้มพระโอษฐ์อย่างอ่อนโยนแก่ทุกสรรพสิ่ง
2094	ห้องเรียนโยคะ	ด้านในห้องเรียนโยคะ
2095	บ้านของมาสเตอร์	ห้องที่คุณใช้ชีวิตเพียงลำพังอย่างสงบสุข
2096	ห้องน้ำของมาสเตอร์	จำนวนของใช้ในห้องน้ำเพิ่มขึ้นตั้งแต่พวกซัคคิวบัสมาถึง
2097	งานพาร์ทไทม์ของมาสเตอร์	ร้านสะดวกซื้อที่คุณทำงานหนักทุกวันเพื่อหาเงินมาจ่ายค่าเช่า
2098	ร้านสะดวกซื้อ	ด้านหน้าร้านสะดวกซื้อที่คุณทำงานอยู่
2099	สตูดิโอไฟสีแดง	สตูดิโอสีแดงของแชนแนลอีวิล อยู่เคียงข้างคุณเสมอ
2100	สตูดิโอไฟสีน้ำเงิน	สตูดิโอสีน้ำเงินของแชนแนลอีวิล อยู่เคียงข้างคุณเสมอ
2101	ย่านกลางเมืองตอนเช้า	ย่านกลางเมืองที่เต็มไปด้วยนักท่องเที่ยวในตอนเช้าตรู่
2102	ย่านกลางเมืองตอนกลางคืน	ย่านกลางเมืองตอนกลางคืนที่คึกคักเสมอ
2103	ทางเข้าตึกระฟ้า	ทางเข้าไปสู่ตึกระฟ้า
2104	ร้านเกม	ร้านเกมที่คุณไปเล่นเป็นประจำจนเงินใกล้หมด
2105	ทิวทัศน์ตึกระฟ้าระยะไกล	ทิวทัศน์เมืองที่มองเห็นตึกระฟ้าอยู่ไกลๆ
2106	ทะเลสาบติดวิหารเก่า	วิหารเก่าที่มีทะเลสาบสวยชวนมอง
2107	เสาสัญญาณวิทยุ	ถนนเงียบสงัดที่มีเสาสัญญาณวิทยุ
2108	ร้านอุปกรณ์โลกรัตติกาล	ร้านขายอุปกรณ์ต่อเติมบ้านจากโลกรัตติกาลที่ขายผลิตภัณฑ์น่าสงสัย
2109	ลานกว้าง	ลานกว้างที่มีหอนาฬิกา
2110	โบสถ์อันสงบสุข	โบสถ์เงียบสงบที่เอ็กโซซิสต์หลายคนทำงานอยู่
2111	สถานที่ก่อสร้างตอนบ่าย	สถานที่ก่อสร้างว่างเปล่าที่คุณมักแวะมาเมื่อต้องการอยู่คนเดียว
2112	ร้านสะดวกซื้อตอนเที่ยงคืน	ร้านสะดวกซื้อคู่แข่งที่กิจการรุ่งเรืองเพราะอยู่ใกล้สถานี
2113	เหนือเมือง	ทิวทัศน์เขตที่อยู่อาศัยเมื่อมองจากด้านบน
2114	ลานกว้างของโบสถ์	สนามของโบสถ์ที่ประดับประดาด้วยไม้กางเขน
2115	บริษัทกฎหมาย	โมนาหลอกเจ้าของคนเก่าจนเขายอมให้เธอใช้ที่นี่เป็นสถานที่ให้คำปรึกษา
2116	ทางแยก	สี่แยกกลางเมืองพลุกพล่านที่มีเสียงแตรรถดังไม่หยุด
2117	ทีวีของมาสเตอร์	ทีวีที่คุณเก็บจากกองขยะรีไซเคิลแล้วเอามาซ่อม
2118	ทางข้ามทางแยก	ทางข้ามถนนที่ต้องรอไฟเขียวนานเป็นพิเศษ
2119	ลานจอดรถ	ลานจอดรถที่มีรางรถไฟ
2120	ทางเข้าเสาสัญญาณวิทยุ	ทางเข้าหอส่งสัญญาณวิทยุ
2121	ห้องทดลอง	ห้องทดลองน่าสงสัยที่มีการวิจัยเรื่องต่างๆ อยู่ตลอดเวลา
2122	สนามเด็กเล่น	สนามเด็กเล่นที่ดาบิและเพื่อนบ้านของเธอชอบมา
2123	ห้องฝึกซ้อม	ห้องฝึกฝนที่สะอาดจนไม่มีที่ติ
2124	ห้องเลกเชอร์	การเรียนรู้คือการเดินทางที่ไม่มีวันจบสิ้น
2125	สำนักงาน	สนามรบอันดุเดือดของบริษัททั้งหลาย
2126	ร้านอาหาร	ร้านหนังสือสำหรับผู้ที่ชอบเรียนรู้ ซึ่งคุณไม่ใช่หนึ่งในนั้น
2127	ร้านอาหารครอบครัว	ร้านอาหารที่เชี่ยวชาญด้านอาหารท้องถิ่นและบริหารงานโดยคนท้องถิ่น
2129	โรงงานร้าง	โรงงานที่หลงเหลือเป็นเพียงซากปรักหักพัง
2130	อาคารร้าง	อาคารร้างที่ไม่มีใครแวะมาอีกแล้ว
2131	โรงพยาบาล	โรงพยาบาลขนาดใหญ่ที่ผู้ทำพันธสัญญาของดีมีเทอร์ทำงานอยู่
2133	น้ำพุสวนสาธารณะตอนกลางคืน	สวนสาธารณะที่มีน้ำพุซึ่งส่องสว่างด้วยหลอดไฟ LED
2134	เส้นทางจ็อกกิ้ง	เส้นทางที่ได้รับการดูแลรักษาอย่างดีและมีแม่น้ำอยู่ด้านขวา
2135	ลานจอดจักรยาน	ริมด้านนอกของสวนสาธารณะที่ผู้คนใช้จอดจักรยาน
2136	น้ำพุสวนสาธารณะ	สวนสาธารณะที่มีน้ำพุ มีหลายครอบครัวชอบมาใช้เวลาร่วมกันที่สวนสาธารณะแห่งนี้
2137	สนามฟุตบอล	สนามฟุตบอลที่ปูด้วยหญ้าจริง
2139	สนามเบสบอล	สนามเบสบอลที่เต็มไปด้วยความกระตือรือร้นของแฟนๆ
2141	ร้านอาหารฟาสต์ฟู้ด	ร้านอาหารฟาสต์ฟู้ดที่มีชื่อเสียงในฐานะจุดสร้างพันธสัญญา
2142	เคาน์เตอร์ร้านอาหารฟาสต์ฟู้ด	บรรดาลูกค้าผู้หิวโหยยืนรอเบอร์เกอร์ที่พวกเขาสั่งตรงนี้
2144	ดาดฟ้าโรงเรียน	ที่นี่คือดาดฟ้าของโรงเรียนที่เปิดเฉพาะเวลาพักเที่ยงเท่านั้น
2145	ศูนย์การค้า	ศูนย์การค้าที่มีห้างสรรพสินค้าขนาดใหญ่
2146	พิพิธภัณฑ์	พิพิธภัณฑ์ศิลปะสมัยใหม่ที่เปลี่ยนงานจัดแสดงหลักทุกสามเดือน
2147	เนินเขา	เนินเขาที่มองลงไปเห็นทิวทัศน์เมืองด้านล่าง
