// key	SCENARIO_LOCATION_
AFEWDAYSAGO	数日前
AFEWHOURSAFTER	数時間後
AFEWHOURSAGO	数時間前
AFTERAFEWDAYS	数日後
ANHOURAGO	一時間前
ANHOUREFTER	1時間後
AWHILEAFTER	しばらくして
AWHILEAGO	少し前
BELIVE	しばらくして
CAFE1	都内 午後のカフェ
HOME1	都内 自宅
HOME2	都内 くつろぎの自宅
HOME3	都内 危機に陥った自宅
HOME4	都内 相変わらず自宅
hospital	病院
HOSPITAL	病院
LONGAGO	遠い昔
NAMSAN	都内 とある街
PRESENT	再び現在
SATANTOURNAMENTSTART	魔王争奪戦 開戦前夜
SCHOOLSECRETLABOARTORY	聖ミカエル女学院 秘密研究室
SOMEWHEREINTHEHELL	魔界のどこか
STMICHAEL	都内 聖ミカエル女学院
STREET1	都内 夜の街
STREET2	都内 路地裏
STREET3	都内 ひっそりとした路地裏
STREET4	都内 とある路地裏
TEMPORARYLODGINGS	仮住まい
THEDAY	あの日
THEDAY_ONEDAYAGO	あの日の1日前
YESTERDAY	一日前
