// key	CHARACTER_PROFILE_DESC_
c000_interest	
c000_like	
c000_love	
c000_profile	
c001_interest	That's a succubus\trade secret ♥
c001_like	Here I go!
c001_love	You need to be\a little more mature...
c001_profile	The leader of the succubi. Much about her remains a mystery.\Though she generally loves to flirt and tease, you can also tell when she means business. In stark contrast to her usual easygoing manner, she is utterly meticulous when it comes to preparing for battle.\Having grown up in the center of the Infernal Realm, she often finds herself at odds with the young master, who has spent much of his life in the Mortal Realm.
c002_interest	I WILL make you\into the Archfiend.
c002_like	Even aides\need to rest.
c002_love	I shall train\you to perfection.
c002_profile	A workaholic succubus who stands ready to fight 24 hours per day. She had once planned to use her earnings to enjoy a leisurely retirement once the Archfiend Contest had ended, but at this point, she's all but given up on it. Just how long is it going to take to make the young master into a halfway decent demon, let alone the Archfiend?Her somewhat uptight personality and overly meticulous nature has started to improve, thanks to the young master's influence. As they say, life doesn't always go according to plan...
c003_interest	I'm gonna go look for Mona!
c003_like	You stupid cockscomb!
c003_love	Hmph! Stupid master!
c003_profile	Her name contains limitless possibilities...or at least, that's what she claims. Simple-minded and gullible, she is easily taken in by just about anyone. She tends to act first and think later, if she bothers to think at all. All she cares about is Mona, so the Archfiend Contest is merely a means to an end for spending more time with her. She sees the young master as a rival for Mona's affection, and refers to him primarily as "stupid cockscomb." Let's just say she still has a lot of growing up to do...
c004_interest	Come play with me, Captain!
c004_like	You just want to\use me...don't you?
c004_love	I'll help you out,\Captain!
c004_profile	A lonely young girl longed for friends, and asked a demon to grant her wish.\Thus was born a Child who treasures nothing more than daily misadventures with her friends: Cheoyong, whose namesake was treated as an outsider, just like Cheoyong's pactmaker.\This reckless girl sees nothing but what lies straight in front of her, and her sole wish is to run like the wind.
c005_interest	The weakest demon?\That's so...weak.
c005_like	I worry about\a weakling like you.
c005_love	I suppose we could be friends...
c005_profile	She took her name from the God of War, Mars, to better convey the belligerent personality that lies beneath her demure appearance.\Until she has achieved her revenge, which she cares about far more than she does making the young master the Archfiend, her battle will never truly end. She is somewhat infatuated with Smirking Momus thanks to the connection their pactmakers share. Mars does not communicate with other Childs well because she is so fixated on plotting her revenge.
c007_interest	I'm not Firo!
c007_like	Firo's going down!
c007_love	Fight me, Firo!
c007_profile	A Child born from the same pactmaker as Fiery Firo. He thinks Firo stole a place that was rightfully his.\Given the name of the legendary bird, he too was reborn from ash (and a soul fragment, but that doesn't tie in as nicely).\His ultimate life goal is to defeat Firo and replace him.\Who knows? Maybe he really is Firo's true rival...
c008_interest	You're just a kid.
c008_like	Are you a powerful demon?
c008_love	I'd love to pit my skills\against yours sometime!
c008_profile	"I can protect myself!"\A Child born from a pactmaker who traveled far and wide seeking revenge on the ex-boyfriend who betrayed her.\Although Frigga is named for the goddess of love and marriage, she doesn't much seem to care about either.\Despite her warrior's demeanor and rough manner of speech, she's deathly afraid of gross things like bugs thanks to her pactmaker's influence.
c009_interest	I never wanna be poor!
c009_like	What do you mean, you have no ambitions?
c009_love	Don't make me regret\siding with you!
