// key	SCENARIO_LOCATION_
AFEWDAYSAGO	數天前
AFEWHOURSAFTER	幾小時後的教室
AFEWHOURSAGO	幾小時前
AFTERAFEWDAYS	幾天後
ANHOURAGO	一小時前...
ANHOUREFTER	一個小時後
AWHILEAFTER	稍晚
AWHILEAGO	不久之前
BELIVE	過了一會
CAFE1	市內──午後的咖啡廳
HOME1	市內──家
HOME2	市內──放鬆的家
HOME3	市內──陷入危機的家
HOME4	市內──熟悉的家
hospital	醫院
HOSPITAL	病院
LONGAGO	很久以前
NAMSAN	市內──某一條街上
PRESENT	回到現在
SATANTOURNAMENTSTART	緊接在魔王爭奪戰開始後
SCHOOLSECRETLABOARTORY	聖邁克爾學校秘密實驗室
SOMEWHEREINTHEHELL	回到過去，魔界的某處
STMICHAEL	東京，聖邁克爾學校
STREET1	市內──晚上的街道
STREET2	市內──小巷內
STREET3	市內──人煙罕至的小巷內
STREET4	市內──某條小巷內
TEMPORARYLODGINGS	臨時庇護所
THEDAY	那天
THEDAY_ONEDAYAGO	那天的前一天
YESTERDAY	前一天
