// key	CHAT_
c001_17_boss_long	鏘～鏘！你好，可愛的主人♥
c001_17_boss_short	歡迎！
c001_17_ctskill	擊中了！
c001_17_death_1	啊！是時候該戰略性退場了…
c001_17_death_2	嗚哇…
c001_17_drive	輪到我了！
c001_17_hit_1	呀！
c001_17_hit_2	好痛喔！
c001_17_hit_3	啊…
c001_17_prskill	做好覺悟吧！
c001_17_skill	好的，主人！
c001_17_spa	啊！主人這個笨蛋！
c001_17_startbt	今天也會是個美好的一天！
c001_17_story1	你好，我親愛的主人♥\是我，莫娜，我會在此為你服務喔！
c001_17_story2	如果你不現在起床的話，就會發生很可怕的事喔～♥
c001_17_story3	天啊！真的不知道這些發育中的男孩們在想什麼呢？
c001_17_true1	主人！如果你想要有點作為的話，就必須成熟一點！
c001_17_true2	你就這麼想了解我嗎？\抱歉，我的身高是個秘密喔！
c001_17_true3	你可千萬別小看了魔王爭奪戰！\每天四處打鬥也很累，不是嗎？\這是為什麼我們有時候必須像這樣享受！
c001_17_victory	我們贏了！
c001_boss_long	我來了喔～♥
c001_boss_short	讓我來懲罰你♥
c001_ctskill	我希望你已經把遺言想好了。
c001_death_1	我就知道會發生這種事…
c001_death_2	呃啊…！
c001_drive	交給我吧♥
c001_hit_1	咿！
c001_hit_2	啊？！
c001_hit_3	就這樣嗎？
c001_prskill	麻煩你退場吧♥
c001_skill	破綻百出喔♥
c001_spa	呼…沒什麼比寵愛自己一下更好的了♥
c001_startbt	我一定會為你贏得勝利的，主人♥
c001_story1	是時候更上一層樓了！\魔王爭奪戰的勝利是屬於我們的！
c001_story2	我要小小休息一下喔♥
c001_story3	禁止閒聊喔！我們今天還有很多事情要做呢！
c001_true1	你是不是該忙什麼事情呢，主人？魔王爭奪戰已經開始了。\如果不小心點，你會被生吞活剝的。
c001_true2	今天的氣象預報是…滂沱大雨！\我們會讓其他魔王候補生的血像大雨一樣傾盆而下的♥
c001_true3	這次的魔王爭奪戰中不尋常的事接踵而來呢。\突然地就宣布開始，而且挑戰者也比之前多了不少。\但你可別擔心，主人。我會想辦法的♥
c001_victory	你有看到我的表現嗎，主人？
c002_boss_long	你看起來很驚訝呢。
c002_boss_short	歡迎你來。
c002_ctskill	你比我想像中的還行嘛。
c002_death_1	我想….我低估你了。
c002_death_2	離我的最後一口氣還剩…兩秒…
c002_drive	讓我來幫忙。
c002_hit_1	咕嗚！
c002_hit_2	嗚啊！
c002_hit_3	啊…
c002_prskill	別太小看我了。
c002_skill	請退下。
c002_spa	今天不工作嗎？
c002_startbt	我來處理就好。
c002_story1	我是魅魔麗莎。我是來這裡服侍新主人的。
c002_story2	我到目前為止已經服侍了兩位主人…看來這個世界上真的沒有完美的惡魔呢。
c002_story3	讓我們將目標設在做到最好，而不是足夠就好。
c002_true1	我可以忍受許多事情，但不休假這件事我無法忍受。
c002_true2	嗯…主人要贏得魔王爭奪戰真的非常困難呢。\噢，你好，主人。我沒看到你在那裡。
c002_true3	身為一名魔王候補生，你已經有了值得讚賞的進展。\當然，你還有好大一段路要努力，但是別擔心。\我會盡一切所能，幫助你成為一名獨當一面的惡魔。
c002_victory	跟我想的一樣。
c003_15_boss_long	讓我踩踩你如何?
c003_15_boss_short	噢呵呵呵呵！妲比魔王大人，登場！
c003_15_ctskill	見識一下我的力量吧！
c003_15_death_1	你竟敢…
c003_15_death_2	唉…
c003_15_drive	現在，跪下吧！
c003_15_hit_1	唔啊！
c003_15_hit_2	咿！
c003_15_hit_3	哈！
c003_15_prskill	你能承受我的力量嗎？
c003_15_skill	啊哈哈哈哈！
c003_15_spa	如果每天都能像今天一樣就好了～
c003_15_startbt	交給我吧！
c003_15_story1	新魔王，妲比大人登場！\所以，之後請多指教啦。
c003_15_story2	你也許可以愚弄神，但你可愚弄不了妲比魔王！
c003_15_story3	你是說，我妲比魔王，不過是個受過良好教育的跟蹤狂？
c003_15_true1	莫娜姐姐～♥，妲比魔王將來要和莫娜姐姐結婚喔！
c003_15_true2	嗚嗚，我什麼時候才能夠回去魔界啊…\這全部都是你的錯！
c003_15_true3	我的計畫失敗了都是你的錯！
c003_15_victory	哈哈哈！這不算什麼！
c003_16_boss_long	讓我踩踩你如何?
c003_16_boss_short	噢呵呵呵呵！妲比魔王大人，登場！
c003_16_ctskill	見識一下我的力量吧！
c003_16_death_1	你竟敢...
