// key	CHAT_SPA_
sc001_spa_1	โล่งอกไปที... รู้อะไรไม่สู้รู้เอาตัวรอดนะ ♥
sc001_spa_2	การสร้างกล้ามเนื้อ การฝึกฝนการต่อสู้ การฝึกคิดแบบเจ้าเล่ห์และชั่วร้าย... ท่านมีอะไรที่ต้องเรียนรู้มากมายเลยล่ะ มาสเตอร์ แต่แค่อยู่กับข้าก็พอ!
sc001_spa_3	ดูเหมือนว่าท่านจะรู้สึกสนุกมากกว่าปกตินะเนี่ย ในที่สุดท่านก็รู้สึกผ่อนคลายแล้วใช่ไหม?
sc001_spa_max	ปีศาจที่ล้มเหลวในทุกอย่างที่เขาทำ เขาพยายามแต่ก็ยังตะเกียกตะกาย นั่นคือสาเหตุว่าทำไมถึงไม่มีใครชื่นชมเขา แต่ถึงจะเป็นอย่างนั้น ข้าคิดว่าปีศาจทุกตนที่ได้พบกับมาสเตอร์จะคอยให้กำลังใจเขาในท้ายที่สุด ♥
sc002_spa_1	วันนี้ไม่ทำงานเหรอ
sc002_spa_2	นี่ไม่ใช่เวลาที่จะมาขี้เกียจในสถานที่แบบนี้นะ มาสเตอร์เนี่ย... เปล่า ช่างมันเถอะ
sc002_spa_3	วันนี้เราสามารถทำตัวตามสบายได้ ถ้าเรายุ่งวุ่นวี่ทุกวัน เราจะทรุดเอาได้
sc002_spa_max	รอยยิ้มเหมาะกับท่านดีนะ มาสเตอร์ อะไรนะ? การพูดแบบนั้นไม่สมกับเป็นตัวข้าเลยงั้นเหรอ? งั้นข้าจะแสดงตัวอย่างให้ท่านดู แต่ว่านะ... ข้าต้องขอยอมรับว่า ข้าเองก็ไม่ได้ยิ้มได้ง่ายๆ เหมือนกัน
sc003_spa_1	โอ เจ้าไม่ไหวหรอก! ตรงนี้เกินกำลังพวกปีศาจแล้ว!
sc003_spa_2	โมนาไปแล้ว... แม้ว่าเธอได้สัญญากับข้าไว้ว่าเธอจะไปกับข้า
sc003_spa_3	มาสเตอร์! วันนี้ไม่ทำงานเหรอ หืม? ถ้าวันนี้ท่านหยุด งั้นท่านก็ควรมาเล่นกับข้า!
sc003_spa_max	วันนี้เราจะติดสติ๊กเกอร์ทั่วววห้องของท่าน พรุ่งนี้เราจะเล่นเป็นราชาปีศาจกัน! และวันมะรืน เราจะไปเล่นสไลด์ที่สวน! มาเล่นกันทั้งอาทิตย์เลย! และท่านก็ต้องมาเล่นด้วยกันด้วยนะ มาสเตอร์!
sc004_spa_1	วันนี้อยากจะเล่นอะไร?
sc004_spa_2	หัวหน้านน! ข้าวิ่งไปทั่วทั้งวัน ตอนนี้ข้าเลยหิวมาก! ฮี่ฮี่
sc004_spa_3	การวิ่งเล่นคนเดียวมันน่าหดหู่ไปหน่อย ข้าคงจะมีความสุขมากกกถ้าท่านมาวิ่งเล่นกับข้านะ หัวหน้า แหะๆ...
sc004_spa_max	หัวหน้าคือทุกสิ่งสำหรับข้า! การที่เขาวิ่งเล่นสนุกสนานไปกับข้าคือสิ่งที่ข้าโปรดปรานที่สุดในโลก!
sc005_spa_1	ออกไปให้พ้นหน้าข้า
sc005_spa_2	เจ้ายังทำท่าทางหยิ่งผยองได้ในสถานที่แบบนี้อีกเหรอ? เจ้าน่ารำคาญชะมัด ไปให้พ้น!
sc005_spa_3	เจ้าไม่คิดว่าไชลด์พวกนี้เนี่ยดูสบายเกินไปเหรอ? เรากำลังอยู่ระหว่างศึกชิงบัลลังก์ราชาปีศาจอยู่นะ! *เฮ้อ* ขอทีเถอะ...
sc005_spa_4	ด้วยเหตุผลอะไรสักอย่าง วันนี้ข้ารู้สึกหมดแรงยิ่งกว่าปกติ คิดว่าคงไม่เสียหายอะไรหรอกถ้าข้าจะปล่อยตัวตามสบายสักครั้ง
sc005_spa_5	ฟังนะ ข้าเป็นส่วนสำคัญสำหรับทีม อย่ารบกวนข้าในขณะที่ข้ากำลังพักผ่อน ให้อิสระกับข้าบ้าง แล้วข้าจะแสดงให้เจ้าเห็นว่าข้าสามารถทำอะไรได้ในการต่อสู้ครั้งถัดไป
sc005_spa_max	พวกเจ้าหวั่นวิตกเรื่องอะไรกัน? ใจเย็นหน่อย ที่จริงข้าออกจะชอบน้ำพุร้อนนี้นะ ในเมื่อเจ้าพาข้ามายังสถานที่ดีๆ แบบนี้ทั้งที ข้าก็จะสู้เต็มที่ในครั้งถัดไป
sc007_spa_1	ให้ตาย เฮ้อ ไหล่แข็งไปหน่อย... *อะแฮ่ม*
sc007_spa_2	เอะอะอะไรก็ไฟโร ไฟโร ไฟโร! ถ้าเจ้ากล้าเอ่ยชื่อนั้นต่อหน้าข้าอีกครั้งละก็ ข้าจะซัดเจ้าให้น่วมเลย!
sc007_spa_3	คนเดียวที่มีสิทธิ์ได้รับชัยชนะไปคือคนที่ตั้งมั่นอยู่กับปัจจุบัน คือคนที่ทุ่มเททุกอย่างที่มีในการต่อสู้ทุกๆ วัน
